date,bag,oyster,treatment,Predicted_Volume_Poly
20251006,G098,49,Temperature,36608.509673639266
20251006,G099,1,Temperature,48286.23304045459
20251006,G099,3,Temperature,55530.45475960038
20251006,G099,4,Temperature,54685.998462039846
20251006,G099,5,Temperature,65382.76046540096
20251006,G099,6,Temperature,25475.675951703088
20251006,G099,7,Temperature,57562.833836483886
20251006,G099,8,Temperature,22907.32583879045
20251006,G099,9,Temperature,45453.16212900249
20251006,G099,10,Temperature,43221.412044716984
20251006,G099,11,Temperature,66817.7757813894
20251006,G099,12,Temperature,59605.60617019042
20251006,G099,13,Temperature,73192.12298974836
20251006,G099,14,Temperature,83761.94952336722
20251006,G099,15,Temperature,43346.4948820489
20251006,G099,16,Temperature,52825.08069238391
20251006,G099,17,Temperature,63334.53904566016
20251006,G099,18,Temperature,46908.51708217577
20251006,G099,19,Temperature,26935.675707771927
20251006,G099,20,Temperature,84574.2500575703
20251006,G099,21,Temperature,62319.63355609105
20251006,G099,22,Temperature,53509.80372423693
20251006,G099,23,Temperature,32925.630400637376
20251006,G099,24,Temperature,60337.90816389877
20251006,G099,25,Temperature,66329.39077314247
20251006,G099,26,Temperature,43511.03184697485
20251006,G099,27,Temperature,43861.780969938125
20251006,G099,28,Temperature,33603.69797326498
20251006,G099,29,Temperature,104271.49449117774
20251006,G099,30,Temperature,81676.42571499989
20251006,G099,31,Temperature,71358.25918637954
20251006,G099,32,Temperature,57151.81153269302
20251006,G099,33,Temperature,42057.05355175695
20251006,G099,34,Temperature,38616.518317559596
20251006,G099,35,Temperature,60953.04718337499
20251006,G099,36,Temperature,33248.55164787354
20251006,G099,37,Temperature,36567.532868663424
20251006,G099,38,Temperature,39774.05068812726
20251006,G099,39,Temperature,83662.66549320363
20251006,G099,40,Temperature,91188.858191421
20251006,G099,41,Temperature,104645.3236472068
20251006,G099,42,Temperature,60912.50390406847
20251006,G099,43,Temperature,72261.95776518411
20251006,G100,44,Temperature,86781.95329562476
20251006,G100,1,Temperature,55803.35307448227
20251006,G100,2,Temperature,41299.92415068252
20251006,G100,3,Temperature,47196.30217621626
20251006,G100,4,Temperature,33984.81458543833
20251006,G100,5,Temperature,34358.87686680774
20251006,G100,6,Temperature,45061.322382665494
20251006,G100,7,Temperature,66052.6443608039
20251006,G100,8,Temperature,58304.38386138554
20251006,G100,9,Temperature,55859.68250371464
20251006,G100,10,Temperature,58090.24823879852
20251006,G100,11,Temperature,40289.27270540135
20251006,G100,12,Temperature,50582.368300705864
20251006,G100,13,Temperature,24862.70020867911
20251006,G100,14,Temperature,81993.62341063377
20251006,G100,15,Temperature,31590.643342995856
20251006,G100,16,Temperature,53482.576194293586
20251006,G100,17,Temperature,41635.532256089806
20251006,G100,18,Temperature,69080.3212085533
20251006,G100,19,Temperature,44395.11516432773
20251006,G100,20,Temperature,48719.10701255367
20251006,G100,21,Temperature,57462.25660041853
20251006,G100,22,Temperature,43446.10670701241
20251006,G100,23,Temperature,42074.1675738617
20251006,G100,24,Temperature,36831.60841091262
20251006,G100,25,Temperature,51613.38470417672
20251006,G100,26,Temperature,74354.91398122958
20251006,G100,27,Temperature,42774.44190851333
20251006,G100,28,Temperature,64440.923014132866
20251006,G100,29,Temperature,28958.6199885887
20251006,G100,30,Temperature,53700.34902743435
20251006,G100,31,Temperature,55573.82421185655
20251006,G100,32,Temperature,31862.569347937984
20251006,G100,33,Temperature,60454.049210926714
20251006,G100,34,Temperature,43098.149283870276
20251006,G100,35,Temperature,85913.32677683902
20251006,G100,36,Temperature,42804.832842871176
20251006,G100,37,Temperature,82706.4013318137
20251006,G100,38,Temperature,72350.33762663855
20251006,G100,39,Temperature,65487.955811642634
20251006,G100,40,Temperature,71350.26606924972
20251006,G100,41,Temperature,50572.07190819506
20251006,G100,42,Temperature,80714.16184391137
